City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,zhigansk,66.7697,123.3711,-1.46,96,100,16.93,RU,1635625731
329,manokwari,-0.8667,134.0833,78.37,73,77,3.24,ID,1635625819
330,bin qirdan,33.1378,11.2197,71.26,64,76,6.62,TN,1635625820
331,carnarvon,-24.8667,113.6333,66.27,68,0,12.66,AU,1635625537
332,namibe,-15.1961,12.1522,68.25,73,84,8.01,AO,1635625739
333,kano,12.0001,8.5167,71.49,64,74,0.0,NG,1635625822
334,comodoro rivadavia,-45.8667,-67.5,53.46,58,20,8.05,AR,1635625823
335,obo,5.3998,26.4869,69.17,94,79,1.5,CF,1635625824
336,la palma,33.8464,-118.0467,86.11,67,75,4.0,US,1635625825
337,norman wells,65.282,-126.8329,19.44,86,90,5.75,CA,1635625617
338,nome,64.5011,-165.4064,6.87,78,1,0.0,US,1635625545
339,pangkalanbuun,-2.6833,111.6167,74.28,96,100,2.26,ID,1635625827
340,griffith,41.5284,-87.4237,61.57,81,90,4.0,US,1635625828
341,te horo,-40.8084,175.1233,63.1,84,56,5.99,NZ,1635625829
342,pau brasil,-15.4642,-39.6511,72.18,86,66,4.74,BR,1635625830
343,hobbs,32.7026,-103.136,86.59,11,1,5.99,US,1635625723
344,mosquera,4.7059,-74.2302,64.49,63,40,11.5,CO,1635625696
345,burgeo,47.6167,-57.6152,46.63,53,0,1.12,CA,1635625832
346,abay,49.6311,72.8539,37.78,68,100,18.03,KZ,1635625833
347,jambi,-1.6,103.6167,73.94,98,67,0.87,ID,1635625833
348,sitka,57.0531,-135.33,48.09,61,75,13.8,US,1635625574
349,urumqi,43.801,87.6005,43.75,61,0,2.24,CN,1635625566
350,povenets,62.8487,34.8262,43.05,96,83,9.66,RU,1635625835
351,belmonte,-15.8631,-38.8828,79.3,81,95,6.89,BR,1635625836
352,aksu,41.1231,80.2644,44.78,52,4,0.36,CN,1635625576
353,ucluelet,48.9329,-125.5528,55.09,59,2,1.39,CA,1635625837
354,chara,56.9064,118.2631,18.73,62,99,0.51,RU,1635625838
355,calbuco,-41.768,-73.1273,63.61,69,0,17.96,CL,1635625839
356,tiksi,71.6872,128.8694,-1.53,96,95,7.87,RU,1635625609
357,porto-vecchio,41.591,9.2795,64.06,82,90,9.22,FR,1635625840
358,sajanan,37.0573,9.2426,65.32,59,100,3.91,TN,1635625841
359,atambua,-9.1061,124.8925,75.58,82,60,1.72,ID,1635625842
360,laurel,39.0993,-76.8483,64.26,73,90,3.0,US,1635625843
361,porto novo,6.4965,2.6036,79.99,85,100,5.88,BJ,1635625844
362,ushtobe,45.2514,77.9838,49.51,58,100,4.7,KZ,1635625844
363,vredendal,-31.6683,18.5012,66.6,64,5,3.65,ZA,1635625845
364,monze,-16.2833,27.4833,78.44,35,69,3.78,ZM,1635625846
